price,rooms,area,floor,total_floors,year,building_type_кирпичный,building_type_монолитный,building_type_панельный
40000000,2,70.0,2.0,10.0,2022.0,0,1,0
29500000,1,40.2,9.0,16.0,2021.0,0,1,0
29500000,2,37.9,6.0,12.0,2025.0,0,1,0
53000000,3,75.7,2.0,6.0,2026.0,0,1,0
46000000,3,56.3,1.0,4.0,1972.0,0,0,1
21900000,1,49.0,4.0,5.0,2025.0,0,1,0
20500000,1,33.0,1.0,5.0,2022.0,0,1,0
37500000,2,54.0,1.0,6.0,2024.0,0,1,0
30000000,2,49.19,3.0,9.0,2025.0,0,0,0
80000000,3,110.8,17.0,18.0,2023.0,0,1,0
30500000,1,54.0,7.0,9.0,2001.0,0,1,0
36000000,2,68.5,9.0,9.0,2021.0,0,0,0
60000000,2,52.0,16.0,18.0,2023.0,0,1,0
31500000,2,46.0,2.0,5.0,2024.0,0,1,0
26000000,2,44.0,2.0,3.0,1964.0,1,0,0
40000000,2,65.4,10.0,10.0,2012.0,0,1,0
75000000,4,100.0,4.0,9.0,1990.0,0,0,1
30000000,2,54.4,6.0,6.0,2019.0,0,1,0
36000000,1,40.0,2.0,6.0,2024.0,0,1,0
32000000,1,38.0,3.0,9.0,2020.0,0,1,0
35500000,2,57.9,6.0,6.0,2021.0,0,1,0
25000000,1,40.9,6.0,8.0,2017.0,0,1,0
32000000,1,38.0,3.0,9.0,2020.0,0,1,0
35500000,2,57.9,6.0,6.0,2021.0,0,1,0
25000000,1,40.9,6.0,8.0,2017.0,0,1,0
74000000,3,80.0,12.0,20.0,2024.0,0,1,0
71000000,3,109.0,10.0,16.0,2025.0,0,1,0
41500000,3,57.0,1.0,4.0,1965.0,0,0,1
110000000,3,92.0,1.0,5.0,1983.0,1,0,0
45000000,2,72.0,6.0,18.0,2012.0,0,1,0
41000000,2,61.0,2.0,9.0,2021.0,0,1,0
79000000,3,120.0,6.0,9.0,1987.0,0,1,0
36000000,2,45.0,4.0,5.0,1975.0,0,0,0
58000000,5,160.0,9.0,10.0,2009.0,0,1,0
129000000,3,120.0,14.0,16.0,2022.0,0,1,0
85000000,3,104.6,7.0,10.0,2014.0,0,1,0
43000000,2,70.0,2.0,10.0,2014.0,0,1,0
101000000,3,92.7,3.0,12.0,2024.0,0,1,0
19500000,1,28.1,5.0,5.0,2023.0,0,1,0
85000000,3,104.6,7.0,10.0,2014.0,0,1,0
43000000,2,70.0,2.0,10.0,2014.0,0,1,0
101000000,3,92.7,3.0,12.0,2024.0,0,1,0
19500000,1,28.1,5.0,5.0,2023.0,0,1,0
39900000,2,59.3,12.0,12.0,2022.0,0,1,0
32000000,2,51.26,8.0,10.0,2022.0,0,1,0
102000000,3,130.0,5.0,11.0,2006.0,0,1,0
16500000,1,34.1,4.0,4.0,2025.0,0,1,0
26440000,1,41.9,2.0,9.0,2023.0,0,0,0
55000000,4,84.0,3.0,5.0,1987.0,0,0,1
70000000,2,70.0,4.0,15.0,2023.0,0,1,0
31500000,3,65.0,2.0,2.0,1976.0,1,0,0
67000000,3,75.0,10.0,16.0,2023.0,0,1,0
27500000,2,45.6,4.0,4.0,1969.0,0,0,1
51000000,2,63.0,7.0,9.0,2026.0,0,1,0
68000000,3,111.7,3.0,5.0,2010.0,0,1,0
35000000,2,45.0,1.0,6.0,2024.0,0,1,0
40500000,2,58.6,7.0,9.0,2025.0,0,1,0
40500000,2,46.0,8.0,13.0,2025.0,0,1,0
53000000,3,87.0,5.0,9.0,2018.0,0,1,0
39500000,2,63.0,5.0,9.0,2024.0,0,1,0
38000000,2,65.7,5.0,6.0,2015.0,0,1,0
20500000,1,30.0,5.0,5.0,2022.0,0,1,0
109000000,3,100.0,10.0,12.0,2020.0,0,1,0
152000000,3,120.0,3.0,7.0,2024.0,0,1,0
28000000,1,39.0,2.0,9.0,2025.0,0,1,0
37500000,3,77.3,10.0,12.0,2024.0,0,1,0
24000000,2,47.0,3.0,5.0,2026.0,0,1,0
60000000,2,58.0,5.0,12.0,2021.0,0,1,0
65000000,3,63.8,3.0,5.0,1985.0,1,0,0
69000000,3,90.0,5.0,13.0,2022.0,0,1,0
49000000,3,72.0,8.0,9.0,1998.0,0,0,1
25000000,1,43.6,7.0,7.0,2022.0,0,1,0
25800000,2,50.0,3.0,5.0,2025.0,0,1,0
71000000,3,127.0,13.0,13.0,2006.0,0,1,0
44000000,2,69.0,2.0,9.0,2023.0,0,1,0
28000000,2,37.2,5.0,12.0,2025.0,0,1,0
24000000,1,47.5,11.0,12.0,2025.0,0,1,0
32700000,2,52.0,7.0,9.0,2025.0,0,1,0
55300000,3,78.5,8.0,16.0,2023.0,0,0,0
23000000,1,48.3,1.0,1.0,1973.0,1,0,0
32900000,2,58.0,4.0,10.0,2021.0,0,1,0
45000000,2,48.9,5.0,16.0,2023.0,0,1,0
24300000,1,33.8,1.0,9.0,2025.0,0,1,0
83000000,3,80.3,5.0,5.0,2013.0,0,1,0
50990000,2,84.0,16.0,20.0,2008.0,0,1,0
22800000,1,36.4,5.0,9.0,2026.0,0,1,0
26300000,2,41.9,4.0,6.0,2022.0,0,1,0
